chr1	3000000	chr1	3000000	27
chr1	4000000	chr1	4000000	25
chr1	3000000	chr1	5000000	1
chr1	5000000	chr1	5000000	21
chr1	4000000	chr1	6000000	1
chr1	5000000	chr1	6000000	3
chr1	6000000	chr1	6000000	31
chr1	6000000	chr1	7000000	1
chr1	7000000	chr1	7000000	23
chr1	4000000	chr1	8000000	1
chr1	5000000	chr1	8000000	1
chr1	8000000	chr1	8000000	15
chr1	4000000	chr1	9000000	1
chr1	6000000	chr1	9000000	1
chr1	9000000	chr1	9000000	23
chr1	3000000	chr1	10000000	1
chr1	10000000	chr1	10000000	26
chr1	10000000	chr1	11000000	1
chr1	11000000	chr1	11000000	35
chr1	10000000	chr1	12000000	1
chr1	11000000	chr1	12000000	3
chr1	12000000	chr1	12000000	26
chr1	13000000	chr1	13000000	30
chr1	13000000	chr1	14000000	3
chr1	14000000	chr1	14000000	39
chr1	12000000	chr1	15000000	1
chr1	15000000	chr1	15000000	35
chr1	3000000	chr1	16000000	1
chr1	5000000	chr1	16000000	1
chr1	9000000	chr1	16000000	1
chr1	12000000	chr1	16000000	1
chr1	16000000	chr1	16000000	32
chr1	12000000	chr1	17000000	1
chr1	16000000	chr1	17000000	1
chr1	17000000	chr1	17000000	32
chr1	18000000	chr1	18000000	21
chr1	13000000	chr1	19000000	1
chr1	16000000	chr1	19000000	1
chr1	18000000	chr1	19000000	1
chr1	19000000	chr1	19000000	35
chr1	7000000	chr1	20000000	3
chr1	16000000	chr1	20000000	1
chr1	19000000	chr1	20000000	5
chr1	20000000	chr1	20000000	28
chr1	21000000	chr1	21000000	33
chr1	5000000	chr1	22000000	1
chr1	8000000	chr1	22000000	1
chr1	22000000	chr1	22000000	21
chr1	7000000	chr1	23000000	1
chr1	8000000	chr1	23000000	1
chr1	9000000	chr1	23000000	1
chr1	21000000	chr1	23000000	1
chr1	23000000	chr1	23000000	29
chr1	24000000	chr1	24000000	40
chr1	4000000	chr1	25000000	1
chr1	16000000	chr1	25000000	3
chr1	24000000	chr1	25000000	1
chr1	25000000	chr1	25000000	22
chr1	24000000	chr1	26000000	1
chr1	25000000	chr1	26000000	1
chr1	26000000	chr1	26000000	14
chr1	6000000	chr1	27000000	1
chr1	9000000	chr1	27000000	1
chr1	26000000	chr1	27000000	1
chr1	27000000	chr1	27000000	22
chr1	9000000	chr1	28000000	2
chr1	26000000	chr1	28000000	3
chr1	27000000	chr1	28000000	2
chr1	28000000	chr1	28000000	26
chr1	5000000	chr1	29000000	1
chr1	18000000	chr1	29000000	1
chr1	28000000	chr1	29000000	3
chr1	29000000	chr1	29000000	26
chr1	18000000	chr1	30000000	1
chr1	29000000	chr1	30000000	2
chr1	30000000	chr1	30000000	27
chr1	5000000	chr1	31000000	1
chr1	30000000	chr1	31000000	3
chr1	31000000	chr1	31000000	45
chr1	32000000	chr1	32000000	20
chr1	20000000	chr1	33000000	1
chr1	33000000	chr1	33000000	24
chr1	30000000	chr1	34000000	1
chr1	34000000	chr1	34000000	48
chr1	20000000	chr1	35000000	1
chr1	23000000	chr1	35000000	1
chr1	34000000	chr1	35000000	1
chr1	35000000	chr1	35000000	40
chr1	10000000	chr1	36000000	1
chr1	36000000	chr1	36000000	39
chr1	36000000	chr1	37000000	1
chr1	37000000	chr1	37000000	33
chr1	17000000	chr1	38000000	1
chr1	19000000	chr1	38000000	3
chr1	35000000	chr1	38000000	1
chr1	38000000	chr1	38000000	34
chr1	4000000	chr1	39000000	1
